student_id,chapter_id,mastery
student_018,ch2,0.667
student_018,ch3,0.0
student_018,ch4,0.0
student_018,ch5,0.97
student_018,ch6,0.75
student_018,ch7,0.0
student_019,ch0,0.333
student_019,ch1,0.667
student_019,ch2,0.333
student_019,ch3,0.0
student_019,ch4,0.75
student_019,ch5,0.75
student_019,ch6,0.0
student_019,ch7,0.667
student_020,ch0,0.97
student_020,ch1,0.97
student_020,ch2,0.0
student_020,ch3,0.0
student_020,ch4,0.0
student_020,ch5,0.75
student_020,ch6,0.75
student_020,ch7,0.97
student_021,ch0,0.333
student_021,ch1,0.0
student_021,ch2,0.0
student_021,ch3,0.0
student_021,ch4,0.333
student_021,ch5,0.0
student_021,ch6,0.0
student_021,ch7,0.0
student_022,ch0,0.75
student_022,ch1,0.0
student_022,ch2,0.75
student_022,ch3,0.0
student_022,ch4,0.333
student_022,ch5,0.75
student_022,ch6,0.0
student_022,ch7,0.333
student_023,ch0,0.333
student_023,ch1,0.0
student_023,ch2,0.97
student_023,ch3,0.0
student_023,ch4,0.0
student_023,ch5,0.0
student_023,ch6,0.0
student_023,ch7,0.0
student_024,ch0,0.0
student_024,ch1,0.97
student_024,ch2,0.97
student_024,ch3,0.667
student_024,ch4,0.667
student_024,ch5,0.0
student_024,ch6,0.0
student_024,ch7,0.0
student_025,ch0,0.333
student_025,ch1,0.333
student_025,ch2,0.75
student_025,ch3,0.333
student_025,ch4,0.97
student_025,ch5,0.333
student_025,ch6,0.0
student_025,ch7,0.333
student_026,ch0,0.97
student_026,ch1,0.75
student_026,ch2,0.97
student_026,ch3,0.0
student_026,ch4,0.0
student_026,ch5,0.0
student_026,ch6,0.0
student_026,ch7,0.333
student_027,ch0,0.333
student_027,ch1,0.97
student_027,ch2,0.667
student_027,ch3,0.0
student_027,ch4,0.97
student_027,ch5,0.0
student_027,ch6,0.0
student_027,ch7,0.0
student_028,ch0,0.0
student_028,ch1,0.75
student_028,ch2,0.333
student_028,ch3,0.75
student_028,ch4,0.0
student_028,ch5,0.0
student_028,ch6,0.333
student_028,ch7,0.333
student_029,ch0,0.0
student_029,ch1,0.0
student_029,ch2,0.0
student_029,ch3,0.0
student_029,ch4,0.0
student_029,ch5,0.667
student_029,ch6,0.333
student_029,ch7,0.0
student_030,ch0,0.97
student_030,ch1,0.0
student_030,ch2,0.333
student_030,ch3,0.333
student_030,ch4,0.333
student_030,ch5,0.667
student_030,ch6,0.333
student_030,ch7,0.0
student_031,ch0,0.75
student_031,ch1,0.0
student_031,ch2,0.97
student_031,ch3,0.0
student_031,ch4,0.667
student_031,ch5,0.97
student_031,ch6,0.97
student_031,ch7,0.333
student_032,ch0,0.0
student_032,ch1,0.333
student_032,ch2,0.0
student_032,ch3,0.0
student_032,ch4,0.333
student_032,ch5,0.0
student_032,ch6,0.667
student_032,ch7,0.333
student_033,ch0,0.333
student_033,ch1,0.333
student_033,ch2,0.333
student_033,ch3,0.333
student_033,ch4,0.0
student_033,ch5,0.0
student_033,ch6,0.0
student_033,ch7,0.0
student_034,ch0,0.667
student_034,ch1,0.0
student_034,ch2,0.0
student_034,ch3,0.667
student_034,ch4,0.0
student_034,ch5,0.0
student_034,ch6,0.97
student_034,ch7,0.667
student_035,ch0,0.0
student_035,ch1,0.333
student_035,ch2,0.0
student_035,ch3,0.0
student_035,ch4,0.0
student_035,ch5,0.333
student_035,ch6,0.0
student_035,ch7,0.75
student_036,ch0,0.333
student_036,ch1,0.0
student_036,ch2,0.333
student_036,ch3,0.333
student_036,ch4,0.0
student_036,ch5,0.97
student_036,ch6,0.0
student_036,ch7,0.75
student_037,ch0,0.0
student_037,ch1,0.333
student_037,ch2,0.667
student_037,ch3,0.75
student_037,ch4,0.333
student_037,ch5,0.75
student_037,ch6,0.667
student_037,ch7,0.0
student_038,ch0,0.333
student_038,ch1,0.667
student_038,ch2,0.667
student_038,ch3,0.333
student_038,ch4,0.0
student_038,ch5,0.667
student_038,ch6,0.0
student_038,ch7,0.0
student_039,ch0,0.0
student_039,ch1,0.97
student_039,ch2,0.0
student_039,ch3,0.333
student_039,ch4,0.667
student_039,ch5,0.0
student_039,ch6,0.0
student_039,ch7,0.0
student_040,ch0,0.333
student_040,ch1,0.0
student_040,ch2,0.667
student_040,ch3,0.333
student_040,ch4,0.97
student_040,ch5,0.333
student_040,ch6,0.0
student_040,ch7,0.333
